City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Joao Da Barra,BR,70.81,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
2,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Porto Novo,BJ,74.52,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
7,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,Le four à pain
10,Port Alfred,ZA,65.79,overcast clouds,-33.5906,26.891,The Halyards Hotel
18,Namibe,AO,63.55,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
19,Lyantonde,UG,66.96,broken clouds,-0.4031,31.1572,Novella Hotel & Spa
20,Irituia,BR,78.64,scattered clouds,-1.7711,-47.4381,Hotel Irituia
22,Ruston,US,78.62,clear sky,32.5232,-92.6379,Sleep Inn & Suites University
23,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Xaghra,MT,79.83,clear sky,36.05,14.2644,Hotel Ta' Cenc & Spa
25,Rikitea,PF,74.07,overcast clouds,-23.1203,-134.9692,People ThankYou
27,Cabo San Lucas,MX,90.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Marfino,RU,60.71,clear sky,55.7028,37.3822,Nemchinovka-Park
29,Nago,JP,86.45,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
30,Mareeba,AU,66.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
32,Yellowknife,CA,66.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
33,Portland,US,90.45,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
34,Bambous Virieux,MU,65.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
35,Jamestown,US,71.51,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
39,Half Moon Bay,US,83.41,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
40,Maragogi,BR,73.83,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
42,Cherskiy,RU,61.83,overcast clouds,68.75,161.3,Gostinitsa
43,Faanui,PF,75.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Sechura,PE,70.7,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
48,Zinder,NE,87.28,clear sky,13.8072,8.9881,Hotel de Ville
49,Bethel,US,89.69,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
50,Saint Anthony,US,85.91,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
51,Singaraja,ID,77.43,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
52,Arraial Do Cabo,BR,70.52,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
54,East London,ZA,64.15,broken clouds,-33.0153,27.9116,Tu Casa
59,Singaparna,ID,70.56,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
60,Kalmunai,LK,77.77,overcast clouds,7.4167,81.8167,VS Villa
61,Hami,CN,84.97,clear sky,42.8,93.45,Laoyutang Resort
62,Santa Cruz,BO,63.86,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
64,Karratha,AU,60.78,few clouds,-20.7377,116.8463,ibis Styles Karratha
65,Shelburne,CA,71.24,broken clouds,44.0787,-80.2041,The Retreat at the Farm
66,San Quintin,MX,77.85,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
67,Salinopolis,BR,79.36,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
69,Nadapuram,IN,75.49,overcast clouds,11.7,75.6667,Fabina Garden
74,Comonfort,MX,77.2,overcast clouds,20.7167,-100.7667,El Kiosco Verde
76,Salamiyah,SY,74.14,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
79,Hobyo,SO,76.55,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
82,Gorontalo,ID,76.26,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
86,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
87,Lorengau,PG,83.19,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Topolobampo,MX,82.31,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
91,Tarare,FR,74.73,few clouds,45.8976,4.4327,Le Saint Clement
92,Camana,PE,61.86,broken clouds,-16.6228,-72.7111,Hostal Morales
94,Namatanai,PG,82.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
95,Broome,US,77.67,few clouds,42.2506,-75.833,Chenango Valley State Park
96,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
